subscriptionYear,country,institution,agreementType,validity,state,dreLink,subscriptionLevel,agreementLink,languages,Props,internationalLink
1989,Colombia,Departamento Administrativo de Intendencias y Comisarias,Específico - Subvención,enero - 1990,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_1989_departamento_administrativo_de_intendencias_y_comisarias.pdf,Facultad de Ciencias Humanas,,Español,"Investigación y gestión en administración pública y seguridad ciudadana
Innovación en políticas de seguridad, gestión administrativa y servicios públicos
Desarrollo de programas educativos y capacitaciones en administración pública y seguridad
Colaboraciones nacionales e internacionales en proyectos de administración y seguridad
Participación activa en la comunidad para promover la seguridad y el bienestar ciudadano
Fomento de la cultura de seguridad a través de eventos, campañas y actividades comunitarias
Integración de aspectos culturales y sociales en la administración pública y la seguridad
Desarrollo de proyectos artísticos y creativos relacionados con la seguridad y la administración pública
Educación integral que aborda temas culturales, sociales y administrativos
Participación en exposiciones y eventos sobre administración pública y seguridad ciudadana
Colaboración con instituciones culturales y educativas para proyectos de seguridad y gestión pública
Promoción de la identidad cultural y el patrimonio a través de la administración pública y la seguridad
Iniciativas en desarrollo comunitario centradas en la mejora de la seguridad y los servicios públicos",
2019,Colombia,Secretaria Distrital de Integración Social,Prácticas y pasantías,agosto - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2019_Secretaria_Distrital_de_Integracion_Social.pdf,Facultad de Ciencias Humanas,,Español,,
2018,Colombia,Departamento Administrativo de la Función Pública,Prácticas y pasantías,enero - 2022,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_DEPARTAMENTO_ADMINISTRATIVO_DE_LA_FUNCION_PUBLICA_2018.pdf,Facultad Ciencias Humanas,,Español,"Investigación y promoción de la gestión pública y el desarrollo de políticas para el servicio civil
Innovación en prácticas administrativas, gestión del talento humano y mejora de la eficiencia gubernamental
Desarrollo de programas educativos y capacitaciones en administración pública, liderazgo y gestión
Colaboraciones nacionales e internacionales en proyectos de administración pública y reforma del sector
Participación activa en la comunidad para fomentar la transparencia, la ética y la eficiencia en el servicio público
Fomento de la cultura de la función pública a través de eventos, conferencias y actividades formativas
Integración de aspectos culturales y sociales en la formación y las políticas de gestión pública
Desarrollo de proyectos artísticos y creativos que reflejan la identidad y la función del servicio público
Educación integral que aborda temas culturales, sociales y administrativos en el contexto del servicio público
Participación en exposiciones y eventos sobre administración pública y desarrollo organizacional
Colaboración con instituciones culturales y educativas para proyectos de formación y desarrollo en la función pública
Promoción de la identidad cultural y el patrimonio a través de la gestión y la administración pública
Iniciativas en sostenibilidad y desarrollo comunitario centradas en la mejora de la función pública y el servicio civil





",
2014,Colombia,Embajada de Colombia en Jamaica,Cooperación Académica,junio - 2014,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2014_Embajada_de_Colombia_en_Jamaica.pdf,Departamento de Lenguas Extranjeras,,Español,"Investigación y promoción de las relaciones diplomáticas y la cooperación bilateral entre Colombia y Jamaica
Innovación en la diplomacia cultural y la promoción de intereses nacionales en el extranjero
Desarrollo de programas educativos y de intercambio cultural entre Colombia y Jamaica
Colaboraciones nacionales e internacionales en proyectos de desarrollo, cultura y comercio
Participación activa en la comunidad local y en la promoción de la cultura y los intereses colombianos en Jamaica
Fomento de la cultura colombiana a través de eventos, exposiciones y actividades culturales en Jamaica
Integración de aspectos culturales y sociales colombianos en las actividades diplomáticas y comunitarias
Desarrollo de proyectos artísticos y creativos que reflejan la identidad cultural de Colombia en Jamaica
Educación integral que aborda temas culturales, sociales y diplomáticos en el contexto de la relación bilateral
Participación en eventos y exposiciones sobre la cultura colombiana y las relaciones internacionales
Colaboración con instituciones culturales y educativas para proyectos de promoción cultural y desarrollo bilateral
Promoción de la identidad cultural y el patrimonio colombiano a través de la diplomacia y las actividades en Jamaica
Iniciativas en sostenibilidad y desarrollo comunitario centradas en fortalecer las relaciones entre Colombia y Jamaica",
2019,Colombia,Fundación Universidad Central,Intercambio,mayo - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2019_Fundacion_Universidad_Central.pdf,Universidad Nacional de Colombia,,Español,,https://www.ucentral.cl/oportunidades-internacionales
2019,Colombia,Instituto Técnico Central,Marco+Intercambio,abril - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/Tecnico_Central.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2307&cHash=8bd5abb33fd7481f4938f2b0f9d98a51&pointer=0,Español,,http://orii.itc.edu.co/orii/
2019,Colombia,Fulbright Colombia,Cooperación académica - Subvención,mayo - 2020,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2019_Fulbright_Colombia_01.pdf,Universidad Nacional de Colombia,,Español,"Investigación y promoción de intercambios académicos y culturales entre Colombia y Estados Unidos
Innovación en programas de becas, estudios y formación para estudiantes, investigadores y profesionales
Desarrollo de programas educativos y de capacitación en áreas diversas, incluyendo investigación y desarrollo profesional
Colaboraciones nacionales e internacionales en proyectos de educación, cultura y ciencia
Participación activa en la comunidad académica y profesional para fomentar el intercambio de conocimientos y experiencias
Fomento de la cultura y el arte a través de eventos, conferencias y actividades culturales internacionales
Integración de aspectos culturales y sociales en los programas de becas y en la experiencia de intercambio
Desarrollo de proyectos artísticos y creativos que reflejan la diversidad cultural y el intercambio entre Colombia y Estados Unidos
Educación integral que aborda temas culturales, sociales y académicos en el contexto de la cooperación internacional
Participación en exposiciones y eventos educativos sobre el intercambio cultural y académico
Colaboración con instituciones culturales y educativas para proyectos de intercambio y desarrollo profesional
Promoción de la identidad cultural y el patrimonio a través de programas de becas y proyectos de colaboración internacional
Iniciativas en sostenibilidad y desarrollo comunitario que potencian el impacto positivo de los intercambios educativos",
2018,Colombia,Fulbright Colombia,Cooperación académica,febrero - 2020,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/_CI_2018_FULBRIGHT_US_SCHOLAR_2017_ESPECIFICO__03.pdf,Universidad Nacional de Colombia,,Español,"Investigación y promoción de intercambios académicos y culturales entre Colombia y Estados Unidos
Innovación en programas de becas, estudios y formación para estudiantes, investigadores y profesionales
Desarrollo de programas educativos y de capacitación en áreas diversas, incluyendo investigación y desarrollo profesional
Colaboraciones nacionales e internacionales en proyectos de educación, cultura y ciencia
Participación activa en la comunidad académica y profesional para fomentar el intercambio de conocimientos y experiencias
Fomento de la cultura y el arte a través de eventos, conferencias y actividades culturales internacionales
Integración de aspectos culturales y sociales en los programas de becas y en la experiencia de intercambio
Desarrollo de proyectos artísticos y creativos que reflejan la diversidad cultural y el intercambio entre Colombia y Estados Unidos
Educación integral que aborda temas culturales, sociales y académicos en el contexto de la cooperación internacional
Participación en exposiciones y eventos educativos sobre el intercambio cultural y académico
Colaboración con instituciones culturales y educativas para proyectos de intercambio y desarrollo profesional
Promoción de la identidad cultural y el patrimonio a través de programas de becas y proyectos de colaboración internacional
Iniciativas en sostenibilidad y desarrollo comunitario que potencian el impacto positivo de los intercambios educativos",
2016,Colombia,Universidad de Bogotá Jorge Tadeo Lozano,Marco+Intercambio,Indefinido,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2016__Universidad_de_Bogota_Jorge_Tadeo_Lozano.pdf,Universidad Nacional de Colombia,,Español,,https://www.utadeo.edu.co/es/micrositio/cooperacion-nacional-e-internacional
2018,Colombia,Universidad de Cartagena,Marco+Intercambio,abril - 2023,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2018_Universidad_de_Cartagena_Especifico.pdf,Universidad Nacional de Colombia,,Español,,https://www.unicartagena.edu.co/internacional/movilidad-academica
2018,Colombia,Fulbright Colombia,Cooperación académica,febrero - 2020,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/_CI_FULBRIGHT_US_SCHOLAR_2018_ESPECIFICO__01.pdf,Universidad Nacional de Colombia,,Español,"Investigación y promoción de intercambios académicos y culturales entre Colombia y Estados Unidos
Innovación en programas de becas, estudios y formación para estudiantes, investigadores y profesionales
Desarrollo de programas educativos y de capacitación en áreas diversas, incluyendo investigación y desarrollo profesional
Colaboraciones nacionales e internacionales en proyectos de educación, cultura y ciencia
Participación activa en la comunidad académica y profesional para fomentar el intercambio de conocimientos y experiencias
Fomento de la cultura y el arte a través de eventos, conferencias y actividades culturales internacionales
Integración de aspectos culturales y sociales en los programas de becas y en la experiencia de intercambio
Desarrollo de proyectos artísticos y creativos que reflejan la diversidad cultural y el intercambio entre Colombia y Estados Unidos
Educación integral que aborda temas culturales, sociales y académicos en el contexto de la cooperación internacional
Participación en exposiciones y eventos educativos sobre el intercambio cultural y académico
Colaboración con instituciones culturales y educativas para proyectos de intercambio y desarrollo profesional
Promoción de la identidad cultural y el patrimonio a través de programas de becas y proyectos de colaboración internacional
Iniciativas en sostenibilidad y desarrollo comunitario que potencian el impacto positivo de los intercambios educativos",
2018,Colombia,Fundación Educativa y Cultural IMA Putumayo - FECIP,Cooperación académica,enero - 2022,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/Convenio_doble_titulacio__n_pro__ttoga.pdf,Facultad de Ciencias Humanas,,Español,"Investigación y promoción de la educación y la cultura en la región del Putumayo
Innovación en programas educativos y culturales adaptados a las necesidades locales
Desarrollo de programas educativos que incluyen la enseñanza de la cultura y las tradiciones locales
Colaboraciones nacionales e internacionales en proyectos educativos y culturales
Participación activa en la comunidad para fortalecer la identidad cultural y educativa de la región
Fomento de la cultura y el arte a través de eventos, talleres y actividades comunitarias
Integración de aspectos culturales y sociales en los programas educativos y de formación
Desarrollo de proyectos artísticos y creativos que reflejan la riqueza cultural del Putumayo
Educación integral que aborda temas culturales, sociales y ambientales propios de la región
Participación en exposiciones y eventos sobre la cultura local y la educación
Colaboración con instituciones culturales y educativas para preservar y promover el patrimonio cultural
Promoción de la identidad cultural y el patrimonio del Putumayo a través de la educación y la cultura
Iniciativas en sostenibilidad y desarrollo comunitario centradas en la educación y la preservación cultural",
2019,Colombia,Universidad de La Salle,Marco+Intercambio,junio - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/Universidad_de_la_Salle.pdf,Universidad Nacional de Colombia,,Español,"Investigación y promoción de la educación con un enfoque en la justicia social y el desarrollo integral
Innovación en programas académicos que combinan educación, fe y compromiso social
Desarrollo de programas educativos orientados a la formación de líderes comprometidos con el cambio social
Colaboraciones nacionales e internacionales en proyectos de educación y desarrollo comunitario
Participación activa en la comunidad para fomentar valores de solidaridad, equidad y servicio
Fomento de la cultura y el arte a través de iniciativas que integran la fe y la creatividad
Integración de aspectos culturales y sociales en la formación de estudiantes con un enfoque en la responsabilidad social
Desarrollo de proyectos artísticos y creativos que promueven la identidad y el patrimonio cultural
Educación integral que aborda temas de justicia social, equidad y desarrollo sostenible
Participación en eventos y actividades que promuevan la cultura de paz y la reconciliación
Colaboración con instituciones culturales y educativas para proyectos de desarrollo social y cultural
Promoción de la identidad cultural y el patrimonio a través de una educación centrada en valores humanos
Iniciativas en sostenibilidad y desarrollo comunitario enfocadas en el bienestar social y la justicia",https://www.lasalle.edu.co/
2018,Colombia,Universidad de los Andes,Marco+Intercambio,abril - 2023,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2018_UNIVERSIDAD_DE_LOS_ANDES_ESPECIFICO_03.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2663&cHash=3c0c7d02a0a7fb1043c0166ddf4b1ac3&pointer=5,Español,"Investigación y promoción de la educación superior con un enfoque en la excelencia académica y la innovación
Innovación en programas académicos multidisciplinarios que promueven el pensamiento crítico y la investigación avanzada
Desarrollo de programas educativos que integran la ciencia, la tecnología, las humanidades y las artes
Colaboraciones nacionales e internacionales en proyectos de investigación, educación y desarrollo social
Participación activa en la comunidad universitaria y en iniciativas que promuevan el impacto social y cultural
Fomento de la cultura y el arte a través de eventos, exposiciones y actividades culturales interdisciplinarias
Integración de aspectos culturales, sociales y éticos en la formación de profesionales comprometidos con la sociedad
Desarrollo de proyectos artísticos y creativos que exploran la intersección entre arte, ciencia y tecnología
Educación integral que aborda temas de sostenibilidad, derechos humanos y desarrollo global
Participación en eventos internacionales y redes académicas que promuevan la cooperación y el intercambio cultural
Colaboración con instituciones culturales y educativas para fortalecer el patrimonio cultural y académico
Promoción de la identidad cultural y el patrimonio a través de una educación que fomente la diversidad y la inclusión
Iniciativas en sostenibilidad y desarrollo comunitario que busquen generar un impacto positivo en la sociedad",https://www.conveniosigueme.com/contacto
2019,Colombia,Universidad del Tolima,Marco+Intercambio,septiembre - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2019_Universidad_del_Tolima.pdf,Universidad Nacional de Colombia,,Español,"Investigación y promoción de la educación con un enfoque en el desarrollo regional y la sostenibilidad
Innovación en programas académicos que abordan las necesidades y potencialidades del Tolima y sus comunidades
Desarrollo de programas educativos que integran la agroecología, la biodiversidad y la cultura regional
Colaboraciones nacionales e internacionales en proyectos de investigación, educación y desarrollo rural
Participación activa en la comunidad para fortalecer la identidad cultural y educativa del Tolima
Fomento de la cultura y el arte a través de actividades que celebran las tradiciones y expresiones artísticas locales
Integración de aspectos culturales y sociales en la formación académica con un enfoque en el desarrollo rural
Desarrollo de proyectos artísticos y creativos que reflejan la riqueza cultural y natural del Tolima
Educación integral que aborda temas ambientales, sociales y culturales propios de la región
Participación en exposiciones, ferias y eventos que promuevan el patrimonio cultural y natural del Tolima
Colaboración con instituciones culturales y educativas para preservar y promover el patrimonio cultural del Tolima
Promoción de la identidad cultural y el patrimonio regional a través de la educación y la investigación
Iniciativas en sostenibilidad y desarrollo comunitario centradas en la agroecología y el desarrollo sostenible del Tolima",http://administrativos.ut.edu.co/internacionalizacion.html
2019,Colombia,Universidad Icesi,Marco+Intercambio,julio - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2019_ICESI.pdf,Universidad Nacional de Colombia,,Español,"Investigación y promoción de la educación con un enfoque en la innovación y el emprendimiento
Innovación en programas académicos que integran tecnología, negocios y ciencias sociales
Desarrollo de programas educativos orientados a formar líderes innovadores y emprendedores
Colaboraciones nacionales e internacionales en proyectos de investigación, desarrollo tecnológico y empresarial
Participación activa en la comunidad para fomentar el emprendimiento y la responsabilidad social
Fomento de la cultura y el arte a través de eventos, exposiciones y actividades que promuevan la creatividad
Integración de aspectos culturales, sociales y económicos en la formación de profesionales competitivos y socialmente responsables
Desarrollo de proyectos artísticos y creativos que impulsen la innovación y el pensamiento disruptivo
Educación integral que aborda temas de emprendimiento, sostenibilidad y desarrollo social
Participación en redes y eventos internacionales que promuevan la colaboración académica y empresarial
Colaboración con instituciones culturales y educativas para fortalecer la innovación y el desarrollo cultural
Promoción de la identidad cultural y el patrimonio a través de una educación que fomente la diversidad y la creatividad
Iniciativas en sostenibilidad y desarrollo comunitario enfocadas en el impacto social del emprendimiento y la innovación",https://www.icesi.edu.co/relaciones-internacionales/estudiantes-internacionales-conv
2016,Colombia,Universidad Industrial de Santander - UIS,Marco+Intercambio,septiembre - 2026,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2016_Universidad_Industrial_de_Santander.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2618&cHash=ccaac89e91918fbc7facb25a8c26e99a&pointer=11,Español,"Investigación y promoción de la educación superior con un enfoque en la ciencia, la tecnología y la industria
Innovación en programas académicos orientados a las ingenierías, ciencias básicas y aplicadas
Desarrollo de programas educativos que integran investigación avanzada y desarrollo tecnológico
Colaboraciones nacionales e internacionales en proyectos de investigación, innovación y desarrollo industrial
Participación activa en la comunidad académica y en proyectos que promuevan el desarrollo regional y nacional
Fomento de la cultura y el arte a través de eventos, festivales y actividades que celebren la identidad cultural
Integración de aspectos culturales y sociales en la formación académica con un enfoque en la responsabilidad social
Desarrollo de proyectos artísticos y creativos que reflejen la intersección entre tecnología, ciencia y cultura
Educación integral que aborda temas de innovación, sostenibilidad y desarrollo industrial
Participación en exposiciones, congresos y eventos que promuevan el avance científico y tecnológico
Colaboración con instituciones culturales y educativas para fortalecer la cultura científica y tecnológica
Promoción de la identidad cultural y el patrimonio a través de la ciencia y la educación tecnológica
Iniciativas en sostenibilidad y desarrollo comunitario centradas en la innovación y el progreso industrial",https://www.conveniosigueme.com/contacto
2018,Colombia,Universidad Libre,Marco+Intercambio,agosto - 2023,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2018_UNIVERSIDAD_LIBRE_ESPECIFICO.pdf,Universidad Nacional de Colombia,,Español,"Investigación y promoción de la educación con un enfoque en la democracia, los derechos humanos y la justicia social
Innovación en programas académicos que integran ciencias jurídicas, sociales y humanidades
Desarrollo de programas educativos orientados a la formación de líderes en derecho, ciencias políticas y educación
Colaboraciones nacionales e internacionales en proyectos de investigación y desarrollo en ciencias sociales y jurídicas
Participación activa en la comunidad para promover los valores de libertad, equidad y justicia
Fomento de la cultura y el arte a través de eventos y actividades que promuevan la reflexión crítica y el pensamiento libre
Integración de aspectos culturales, sociales y éticos en la formación de profesionales comprometidos con el cambio social
Desarrollo de proyectos artísticos y creativos que reflejan la defensa de los derechos humanos y la justicia social
Educación integral que aborda temas de democracia, ciudadanía y responsabilidad social
Participación en congresos, seminarios y eventos que promuevan el debate académico y la construcción de sociedad
Colaboración con instituciones culturales y educativas para fortalecer la democracia y los derechos humanos
Promoción de la identidad cultural y el patrimonio a través de la educación en derechos y deberes ciudadanos
Iniciativas en sostenibilidad y desarrollo comunitario enfocadas en la justicia social y la equidad",http://www.unilibre.edu.co/ori/index.php/movilidad/intercambios-academico
2019,Colombia,Universidad Pedagógica Nacional,Intercambio,junio - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/Universidad_Pedagogica_Nacional__1_.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2423&cHash=bd915c44c44baefd7f157ab8cbc8b42e&pointer=0,Español,"Investigación y promoción de la educación con un enfoque en la formación de docentes y la pedagogía
Innovación en programas académicos centrados en la educación, pedagogía, y desarrollo infantil y juvenil
Desarrollo de programas educativos orientados a la formación de educadores comprometidos con la transformación social
Colaboraciones nacionales e internacionales en proyectos de investigación educativa y desarrollo pedagógico
Participación activa en la comunidad educativa para fortalecer la calidad de la enseñanza y el aprendizaje
Fomento de la cultura y el arte a través de actividades pedagógicas que integran las artes en la educación
Integración de aspectos culturales y sociales en la formación de docentes con un enfoque en la equidad y la inclusión
Desarrollo de proyectos artísticos y creativos que utilizan las artes como herramienta pedagógica
Educación integral que aborda temas de inclusión, diversidad y derechos humanos en el contexto educativo
Participación en conferencias, talleres y eventos que promuevan la innovación pedagógica y la investigación educativa
Colaboración con instituciones culturales y educativas para mejorar la formación docente y la educación pública
Promoción de la identidad cultural y el patrimonio a través de la educación y la formación de educadores
Iniciativas en sostenibilidad y desarrollo comunitario enfocadas en la mejora continua de la educación y la formación docente",http://ori.pedagogica.edu.co/informacion-general-2/
2011,Colombia,Fundación Universidad Central / Fundación Autónoma de Colombia / Universidad Industrial de Santander,Proyecto de investigación,diciembre - 2014,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2011_fundaci%C3%B3n_universidad_central_universidad_autonoma_universidad_industrial_de_santander.pdf,Escuela de Estudios de Género,,Español,"Investigación y promoción de la educación con un enfoque en las artes, humanidades y ciencias sociales
Innovación en programas académicos que integran disciplinas artísticas, creativas y comunicativas
Desarrollo de programas educativos orientados a la formación de artistas, comunicadores y gestores culturales
Colaboraciones nacionales e internacionales en proyectos de investigación y desarrollo en artes y cultura
Participación activa en la comunidad artística y cultural para promover la creación y el pensamiento crítico
Fomento de la cultura y el arte a través de eventos, festivales y exposiciones que destacan la diversidad cultural
Integración de aspectos culturales y sociales en la formación académica con un enfoque en la creatividad y la expresión
Desarrollo de proyectos artísticos y creativos que reflejan la diversidad cultural y la innovación
Educación integral que aborda temas de cultura, comunicación y desarrollo social
Participación en redes artísticas y culturales que promuevan el intercambio y la colaboración internacional
Colaboración con instituciones culturales y educativas para fortalecer el patrimonio cultural y la educación artística
Promoción de la identidad cultural y el patrimonio a través de las artes y la educación en humanidades
Iniciativas en sostenibilidad y desarrollo comunitario centradas en la cultura y la educación artística",
2016,Colombia,Instituto Colombiano de Antropología e Historia (ICANH),Cooperación académica,noviembre - 2016,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/C.N__Instrituto_Colombiano_de_Antropoligia_e_Historia.pdf,Facultad de Ciencias Humanas,,Español,"Investigación y promoción del conocimiento sobre la antropología, arqueología e historia de Colombia
Innovación en proyectos de investigación que exploran la diversidad cultural y el patrimonio histórico del país
Desarrollo de programas educativos orientados a la preservación y difusión del patrimonio cultural colombiano
Colaboraciones nacionales e internacionales en investigaciones arqueológicas, antropológicas e históricas
Participación activa en la comunidad para fortalecer la conciencia sobre la diversidad cultural y la historia de Colombia
Fomento de la cultura y el arte a través de exposiciones, publicaciones y actividades que promuevan el patrimonio cultural
Integración de aspectos culturales y sociales en la investigación para preservar y valorizar el legado cultural de las comunidades
Desarrollo de proyectos artísticos y creativos que reflejan la riqueza cultural y la memoria histórica de Colombia
Educación integral que aborda temas de identidad cultural, historia y antropología en el contexto colombiano
Participación en redes académicas y culturales que promuevan la investigación y la preservación del patrimonio
Colaboración con instituciones culturales y educativas para fortalecer la investigación y la difusión del patrimonio histórico
Promoción de la identidad cultural y el patrimonio a través de investigaciones y actividades educativas
Iniciativas en sostenibilidad y desarrollo comunitario enfocadas en la preservación del patrimonio cultural y la memoria histórica",
2019,Colombia,"Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior ""Mariano Ospina Pérez"" (ICETEX)",Cooperación académica,mayo - 2020,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/ICETEX_Alexandra_Ramirez.pdf,Departamento de Lenguas Extranjeras,,Español,"Promoción de la educación como medio para el desarrollo personal y profesional.
Diversidad regional, apoyando estudiantes de distintas partes de Colombia.
Ofrecimiento de créditos y subsidios para estudios de pregrado, posgrado, y educación técnica, tanto a nivel nacional como internacional.
Mantenimiento de convenios con diversas universidades y centros educativos en Colombia y en el exterior.
Inclusión social, proporcionando oportunidades educativas a estudiantes de diferentes estratos sociales.
Contribución al desarrollo regional al apoyar a estudiantes de áreas menos favorecidas.",
2019,Colombia,"Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior ""Mariano Ospina Pérez"" (ICETEX)",Cooperación académica,mayo - 2020,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/ICETEX_Alexander_George_Lee_-_Wildt.pdf,Departamento de Lenguas Extranjeras,,Inglés,"""Promoción de la educación como medio para el desarrollo personal y profesional.
Diversidad regional, apoyando estudiantes de distintas partes de Colombia.
Ofrecimiento de créditos y subsidios para estudios de pregrado, posgrado, y educación técnica, tanto a nivel nacional como internacional.
Mantenimiento de convenios con diversas universidades y centros educativos en Colombia y en el exterior.
Inclusión social, proporcionando oportunidades educativas a estudiantes de diferentes estratos sociales.
Contribución al desarrollo regional al apoyar a estudiantes de áreas menos favorecidas.""",
2014,Colombia,"Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior ""Mariano Ospina Pérez"" (ICETEX)",Cooperación académica,diciembre - 2020,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2014_ICETEX.pdf,Universidad Nacional de Colombia,,Español,"""Promoción de la educación como medio para el desarrollo personal y profesional.
Diversidad regional, apoyando estudiantes de distintas partes de Colombia.
Ofrecimiento de créditos y subsidios para estudios de pregrado, posgrado, y educación técnica, tanto a nivel nacional como internacional.
Mantenimiento de convenios con diversas universidades y centros educativos en Colombia y en el exterior.
Inclusión social, proporcionando oportunidades educativas a estudiantes de diferentes estratos sociales.
Contribución al desarrollo regional al apoyar a estudiantes de áreas menos favorecidas.""",
1994,Colombia,Municipio de Fonseca,Cooperación académica,abril - 1997,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_1994_municipio_de_fonseca.pdf,Facultad de Ciencias Humanas,,Español,"Trabaja para defender los derechos laborales de los trabajadores del sector petrolero, incluyendo condiciones de trabajo seguras, salarios justos y beneficios adecuados.
Participa en la negociación de convenios colectivos y acuerdos con las empresas petroleras para mejorar las condiciones laborales.
Ofrece programas de capacitación y formación para sus miembros sobre derechos laborales, seguridad en el trabajo, y habilidades profesionales.
Ha organizado movilizaciones y protestas para reclamar mejoras en las condiciones laborales y apoyar la justicia social.
Participa en proyectos y actividades que buscan mejorar la calidad de vida de los trabajadores y sus comunidades.
Tiene una estructura organizativa que incluye un comité directivo y representantes en diferentes regiones del país.
Está organizada en filiales regionales que representan a los trabajadores en diversas áreas geográficas y operativas del sector petrolero.
Mantiene relaciones de negociación y diálogo con empresas del sector petrolero para abordar y resolver cuestiones laborales.
Interactúa con autoridades gubernamentales para influir en políticas laborales y en la regulación del sector petrolero.
Apoya diversas causas sociales y laborales más allá del ámbito específico del petróleo, promoviendo la justicia y la equidad en el entorno laboral.",
2019,Colombia,Ministerio de Cultura,Prácticas y pasantías,diciembre - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/24.01.2020_Ministerio_de_Cultura.pdf,Facultad de Ciencias Humanas,,Español,,
2020,Colombia,Unión Sindical Obrera de la Industria del Petróleo,Cooperación académica,febrero - 2025,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/18.02.2020_Union_Sindical_Obrera_de_la_Industria_del_Petroleo.pdf,Facultad de Ciencias Humanas,,Español,,
2020,Colombia,Inti Huasi Casa del Sol,Prácticas y pasantías,marzo - 2025,Vigente,https://drive.google.com/file/d/1jeX0lT9fZM5RkjnbfgC-VkBg1QVF_h1F/view?usp=sharing,Facultad de Ciencias Humanas,,Español,,
2020,Colombia,Centro de Altos Estudios Legislativos (CAEL),Prácticas y pasantías,enero - 2025,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/10.02.2020_CAEL.pdf,Facultad de Ciencias Humanas,,Español,,
2017,Colombia,Municipio de Zipaquirá,Específico,noviembre - 2019,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/_CN_2017_MUNICIPIO_DE_ZIPAQUIRA_ESPECIFICO_.pdf,Facultad de Ciencias Humanas,,Español,,
2020,Colombia,Asociación de Traductores Intérpretes y Guías Intérpretes de Lengua de Señas Colombiana-Español de Bogota (ASIBOC),Cooperación académica,mayo - 2025,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/Convenio_Marco_No._FCH-027-2019_ASIBOC-UNAL_firmado.pdf,Facultad de Ciencias Humanas,,Español,,
2020,Colombia,Fundación Alianza Social Educativa (ASE),Prácticas y pasantías,marzo - 2025,Vigente,https://drive.google.com/file/d/1gRhMxtyGSe3QAjjgsXINXgjZ6K5RW8Sc/view?usp=sharing,Facultad de Ciencias Humanas,,Español,,
2020,Colombia,"UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y
EN RAZÓN DEL CONFLICTO ARMADO - UBPD",Prácticas y pasantías,diciembre - 2027,Vigente,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1323314&isFromPublicArea=True&isModal=False,Facultad de Ciencias Humanas,,Español,,
2017,Colombia,Pelecanus S.A.S,Prácticas y pasantías,diciembre - 2022,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2017_PELECANUS.pdf,Facultad de Ciencias Humanas,,Español,,
